order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
3997,1,157,1,376.0616,15.8611,8.4645
3997,2,653,2,726.6814,6.4593,5.0599
3997,3,144,2,216.4200,16.5867,14.5752
3997,4,106,4,416.5591,20.0952,6.4426
3997,5,188,1,658.2839,22.3617,12.1487
3998,1,56,3,547.9370,17.1742,13.2645
3998,2,115,2,997.7820,4.2709,9.7942
3998,3,37,5,781.7828,27.5701,5.6738
3998,4,222,2,529.5392,0.7984,10.3098
3998,5,235,2,196.9004,41.2502,5.4715
3999,1,156,2,411.0066,8.6136,8.9182
3999,2,20,3,549.8799,94.4395,5.1823
3999,3,178,4,212.2239,50.3615,5.2338
3999,4,178,4,848.9121,28.0871,6.7704
3999,5,84,4,333.3335,18.3802,9.7354
4000,1,134,2,167.5548,2.1197,13.8991
4000,2,10,3,910.6600,24.0534,11.6232
4000,3,25,1,891.9135,36.1868,13.7728
4000,4,37,1,485.6476,40.6711,10.4604
4000,5,119,1,26.9200,33.1466,14.4129
4001,1,115,5,484.5599,88.8532,10.2059
4002,1,224,5,656.5160,4.8815,11.8842
4002,2,248,4,14.1970,11.1031,11.4190
4002,3,1,4,149.9481,34.9087,14.1839
4003,1,30,2,740.5931,35.3174,12.0756
4003,2,249,5,341.8052,38.7276,14.1473
4003,3,196,5,181.1326,3.7699,5.1109
4004,1,97,5,681.8544,44.6093,7.6752
4004,2,317,3,140.2444,25.6917,8.2273
4004,3,75,4,245.9190,41.1073,9.9912
4005,1,103,2,666.5157,43.3556,9.7824
4006,1,202,2,737.6573,25.3555,14.5289
4006,2,244,1,68.9869,40.3893,5.5891
4006,3,17,3,791.5518,0.5610,8.6269
4006,4,174,2,498.1395,21.3166,11.3613
4007,1,236,2,623.3389,16.8994,6.9636
4008,1,217,1,185.2136,37.4368,12.3167
4008,2,123,4,738.7799,17.5125,8.1871
4008,3,90,4,607.2096,35.2158,14.1166
4009,1,75,4,914.9335,29.5235,14.4823
4009,2,131,2,905.1264,44.1479,12.4139
4009,3,131,5,285.7282,22.1193,9.4565
4010,1,186,5,145.6456,33.0960,11.9882
4010,2,211,2,109.6650,33.1948,6.0411
4010,3,141,5,84.4302,29.0645,11.5674
4011,1,43,5,179.3407,37.0676,9.9925
4011,2,37,1,644.7459,31.8952,8.0757
4011,3,181,2,300.2887,14.1472,7.6360
4011,4,147,1,886.8913,40.8150,11.5629
4012,1,68,1,327.2557,42.5220,12.2237
4012,2,187,2,260.8249,11.6550,10.4207
4012,3,20,2,198.1130,9.4140,12.2107
4012,4,44,5,529.0645,29.6548,7.9394
4013,1,206,2,526.1731,29.4784,13.4339
4013,2,144,2,28.9541,0.2098,9.7415
4014,1,7,3,609.9798,14.4861,9.6192
4015,1,4,4,293.7510,31.9478,8.4932
4015,2,63,4,252.7813,22.6329,14.4047
4015,3,248,2,932.7771,39.5544,9.2996
4016,1,121,3,970.3324,46.4746,11.9177
4016,2,64,3,598.1473,38.8538,13.1820
4016,3,137,5,659.6745,98.1220,13.3845
4016,4,21,3,493.4054,34.6263,10.6208
4017,1,139,2,643.5668,37.3562,10.6040
4017,2,217,2,100.0206,59.1701,11.4248
4017,3,148,4,91.1672,17.2052,9.8002
4018,1,81,2,884.8678,17.5935,7.9957
4019,1,102,5,974.0754,33.2446,8.0406
4019,2,231,1,187.2530,10.6573,7.1465
4020,1,125,3,797.5906,10.1345,9.0944
4020,2,197,2,642.0379,3.6824,11.7008
4020,3,107,5,400.3225,80.6914,9.9254
4020,4,190,3,189.7905,7.1860,7.7630
4021,1,192,2,791.7094,44.6647,6.5904
4021,2,41,4,578.8335,40.9892,11.9343
4021,3,95,2,592.4296,20.6428,6.6780
4021,4,241,5,595.3542,41.1872,13.4188
4022,1,18,2,694.0659,47.8179,7.2373
4022,2,78,5,774.7921,8.3749,6.1616
4023,1,160,3,50.4707,31.2227,5.5198
4023,2,140,1,549.8594,76.7184,9.8575
4023,3,146,1,815.8301,36.6512,6.2914
4023,4,201,3,700.7272,1.8923,5.6475
4023,5,673,2,455.1858,26.9138,7.6383
4024,1,48,3,811.2338,31.2311,5.8514
4024,2,200,4,293.6658,19.2649,12.7586
4024,3,97,3,305.8062,54.1615,6.3780
4024,4,224,2,461.9164,30.2057,12.3411
4025,1,45,2,491.7803,94.7063,14.5133
4025,2,278,4,1.8438,17.9358,11.8145
4025,3,224,3,891.3728,41.3831,6.1627
4025,4,250,3,762.0346,8.6943,8.6503
4026,1,46,5,259.1739,30.3657,14.0090
4026,2,95,5,382.9041,14.9675,9.6360
4026,3,232,5,454.5036,55.3134,9.2556
4027,1,213,2,283.3085,5.7270,14.4682
4027,2,75,3,360.9194,37.5176,6.9903
4027,3,221,3,776.6375,15.2812,8.5876
