order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
2665,1,50,3,303.3008,0.4845,6.1566
2665,2,101,3,277.0754,21.2921,10.9219
2666,1,157,1,291.3435,14.8020,11.9826
2667,1,34,2,812.8547,39.6139,14.6008
2667,2,213,5,234.9217,7.5500,10.0178
2667,3,9,4,216.5499,41.5230,14.1147
2667,4,172,5,606.9834,80.9780,11.3458
2668,1,95,5,400.4026,5.1964,8.8772
2668,2,93,4,380.1406,25.3071,6.2219
2668,3,59,1,222.5452,5.4992,12.2287
2669,1,147,3,600.3806,42.0493,13.0600
2670,1,692,5,971.7156,44.1648,7.3194
2670,2,89,5,353.3632,43.9141,5.7151
2670,3,194,2,600.6129,13.8883,12.6109
2671,1,167,5,558.3940,22.5896,5.2472
2671,2,207,2,585.9365,21.3276,11.4779
2671,3,216,5,900.8993,25.9713,5.8256
2671,4,34,5,490.1896,13.3299,5.1889
2672,1,30,3,716.5786,47.7364,12.4888
2673,1,2,1,428.4182,47.0249,5.8140
2673,2,27,3,605.3154,34.6735,11.0110
2673,3,58,2,693.3371,20.0048,5.7171
2673,4,65,2,720.1966,2.2848,11.4689
2674,1,99,5,528.0778,11.4473,12.0001
2674,2,103,2,763.6624,40.4318,5.1039
2674,3,227,5,441.6958,19.6085,12.1532
2675,1,55,4,310.2207,56.2939,5.0262
2675,2,238,2,385.1119,6.7466,10.7183
2675,3,224,4,173.0753,0.7101,10.7200
2675,4,19,4,655.4892,9.5773,14.1228
2676,1,62,2,662.9854,37.3879,6.6046
2676,2,179,4,499.2749,26.6224,11.2775
2676,3,157,5,501.6241,94.4764,13.5280
2676,4,385,5,117.7130,28.1837,9.7287
2677,1,120,4,398.1094,30.9138,14.5888
2677,2,43,5,41.8565,27.1802,5.5735
2678,1,61,1,277.8706,47.5491,13.8339
2678,2,96,4,831.7741,21.1488,6.5076
2678,3,239,3,116.6117,6.6155,7.8542
2678,4,218,1,542.9178,12.4664,14.0662
2678,5,223,3,546.2913,0.7669,6.5376
2679,1,242,5,380.1111,4.1743,12.1668
2679,2,65,5,22.1496,12.8980,8.7582
2679,3,158,2,356.0934,11.6169,6.7343
2680,1,244,2,844.8885,36.2231,8.5491
