order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
1,2025-08-18T14:47:20,2025-08-18,29,10,pos,bank_transfer,,20.96,AUD
2,2025-08-18T11:36:54,2025-08-18,790,47,web,credit_card,,25.37,AUD
3,2025-08-18T14:57:54,2025-08-18,264,17,web,paypal,,8.71,AUD
4,2025-08-18T03:26:24,2025-08-18,426,20,web,bank_transfer,,5.11,AUD
5,2025-08-18T03:10:29,2025-08-18,147,26,web,credit_card,,0.00,AUD
6,2025-08-18T00:42:24,2025-08-18,343,1,web,credit_card,SAVE-N7AX,5.70,AUD
7,2025-08-18T00:25:18,2025-08-18,191,332,pos,credit_card,,8.22,AUD
8,2025-08-18T08:31:36,2025-08-18,396,14,web,credit_card,,12.26,AUD
9,2025-08-18T05:41:40,2025-08-18,133,28,web,paypal,SAVE-AXKY,0.00,AUD
10,2025-08-18T18:13:47,2025-08-18,624,34,pos,paypal,,0.00,AUD
11,2025-08-18T19:19:51,2025-08-18,153,17,web,credit_card,SAVE-S27S,7.11,AUD
12,2025-08-18T20:22:46,2025-08-18,185,14,web,credit_card,SAVE-94XT,8.43,AUD
13,2025-08-18T21:19:28,2025-08-18,377,41,pos,credit_card,,28.20,AUD
14,2025-08-18T17:53:24,2025-08-18,617,30,pos,credit_card,SAVE-IDEB,22.02,AUD
15,2025-08-18T08:19:32,2025-08-18,276,38,pos,credit_card,,8.87,AUD
16,2025-08-18T04:55:15,2025-08-18,578,37,pos,cash,,18.11,AUD
17,2025-08-18T08:53:26,2025-08-18,380,24,pos,gift_card,,20.31,AUD
18,2025-08-18T10:06:07,2025-08-18,74,38,web,cash,,0.00,AUD
19,2025-08-18T11:40:44,2025-08-18,666,9,pos,credit_card,,22.69,AUD
20,2025-08-18T19:50:12,2025-08-18,784,37,web,credit_card,,13.79,AUD
21,2025-08-18T03:07:52,2025-08-18,319,34,web,paypal,,11.62,AUD
22,2025-08-18T07:35:26,2025-08-18,261,16,pos,credit_card,,5.79,AUD
23,2025-08-18T01:25:20,2025-08-18,788,42,web,credit_card,,11.51,AUD
24,2025-08-18T08:23:00,2025-08-18,273,1,web,credit_card,,12.58,AUD
25,2025-08-18T04:16:14,2025-08-18,530,12,web,bank_transfer,,48.68,AUD
26,2025-08-18T20:37:11,2025-08-18,695,44,pos,paypal,,14.05,AUD
27,2025-08-18T05:37:24,2025-08-18,549,9,pos,gift_card,SAVE-YDAC,0.00,AUD
28,2025-08-18T02:55:03,2025-08-18,702,26,pos,credit_card,,18.98,AUD
29,2025-08-18T00:52:26,2025-08-18,70,20,web,paypal,,0.00,AUD
30,2025-08-18T15:39:49,2025-08-18,610,17,web,credit_card,,16.90,AUD
31,2025-08-18T03:20:25,2025-08-18,297,33,web,credit_card,SAVE-LLSW,8.76,AUD
32,2025-08-18T19:52:41,2025-08-18,770,1,pos,bank_transfer,,16.38,AUD
33,2025-08-18T14:52:43,2025-08-18,389,8,web,credit_card,,0.00,AUD
34,2025-08-18T20:41:33,2025-08-18,696,31,web,bank_transfer,SAVE-SY87,14.32,AUD
35,2025-08-18T21:33:11,2025-08-18,64,16,web,bank_transfer,,27.76,AUD
36,2025-08-18T13:11:40,2025-08-18,172,49,pos,paypal,,13.43,AUD
37,2025-08-18T19:00:21,2025-08-18,505,21,web,paypal,,8.50,AUD
38,2025-08-18T04:06:36,2025-08-18,266,38,pos,gift_card,,0.00,AUD
39,2025-08-18T01:09:08,2025-08-18,303,46,pos,gift_card,SAVE-U9R6,28.56,AUD
40,2025-08-18T00:20:57,2025-08-18,584,47,web,gift_card,,45.33,AUD
41,2025-08-18T23:16:54,2025-08-18,170,31,web,paypal,SAVE-ZH3O,0.00,AUD
42,2025-08-18T22:15:04,2025-08-18,16,37,pos,paypal,,21.28,AUD
43,2025-08-18T11:59:38,2025-08-18,787,25,web,cash,,25.87,AUD
44,2025-08-18T01:44:07,2025-08-18,721,37,pos,bank_transfer,,8.85,AUD
45,2025-08-18T07:04:45,2025-08-18,629,26,pos,credit_card,,18.15,AUD
46,2025-08-18T11:07:40,2025-08-18,230,36,pos,credit_card,,0.00,AUD
47,2025-08-18T19:32:04,2025-08-18,440,4,pos,bank_transfer,,16.75,AUD
48,2025-08-18T05:12:19,2025-08-18,184,42,web,paypal,,0.00,AUD
49,2025-08-18T01:51:09,2025-08-18,780,49,pos,paypal,SAVE-A9E4,11.93,AUD
50,2025-08-18T09:01:40,2025-08-18,403,37,web,cash,,13.19,AUD
51,2025-08-18T12:31:11,2025-08-18,69,11,web,credit_card,,26.12,AUD
52,2025-08-18T02:45:43,2025-08-18,492,42,web,gift_card,,16.30,AUD
53,2025-08-18T05:56:17,2025-08-18,401,8,web,bank_transfer,SAVE-BU3P,0.00,AUD
54,2025-08-18T11:02:12,2025-08-18,543,33,web,cash,,0.00,AUD
55,2025-08-18T18:48:01,2025-08-18,9,12,web,cash,,14.84,AUD
56,2025-08-18T05:26:10,2025-08-18,48,39,web,credit_card,SAVE-IEPH,17.90,AUD
57,2025-08-18T20:04:15,2025-08-18,770,46,web,bank_transfer,,12.07,AUD
58,2025-08-18T17:22:46,2025-08-18,629,35,pos,gift_card,,29.22,AUD
59,2025-08-18T03:25:10,2025-08-18,446,42,web,credit_card,,6.52,AUD
60,2025-08-18T08:42:29,2025-08-18,724,19,web,credit_card,,21.44,AUD
61,2025-08-18T03:56:49,2025-08-18,28,40,web,credit_card,,0.00,AUD
62,2025-08-18T21:11:07,2025-08-18,330,42,web,credit_card,SAVE-JKLE,18.87,AUD
63,2025-08-18T04:09:26,2025-08-18,272,31,web,credit_card,,0.00,AUD
64,2025-08-18T15:01:53,2025-08-18,636,27,web,credit_card,,14.86,AUD
65,2025-08-18T07:20:33,2025-08-18,519,50,pos,credit_card,SAVE-EUFD,12.82,AUD
66,2025-08-18T01:41:33,2025-08-18,155,31,web,credit_card,,10.71,AUD
67,2025-08-18T00:57:31,2025-08-18,621,16,web,credit_card,,10.33,AUD
68,2025-08-18T01:00:20,2025-08-18,255,12,pos,credit_card,,13.31,AUD
69,2025-08-18T21:10:47,2025-08-18,800,13,web,paypal,,29.04,AUD
70,2025-08-18T03:04:36,2025-08-18,317,33,web,paypal,,43.14,AUD
71,2025-08-18T04:40:57,2025-08-18,430,37,pos,credit_card,,10.79,AUD
72,2025-08-18T22:27:11,2025-08-18,544,39,pos,credit_card,SAVE-AEWF,21.41,AUD
73,2025-08-18T01:07:49,2025-08-18,793,7,web,paypal,,0.00,AUD
74,2025-08-18T14:57:55,2025-08-18,761,43,web,cash,,6.14,AUD
75,2025-08-18T21:46:35,2025-08-18,81,36,web,paypal,SAVE-W96L,19.09,AUD
76,2025-08-18T10:40:09,2025-08-18,508,47,web,credit_card,SAVE-JZS8,14.29,AUD
77,2025-08-18T08:56:53,2025-08-18,123,18,pos,paypal,,0.00,AUD
78,2025-08-18T10:09:34,2025-08-18,88,27,pos,credit_card,,31.98,AUD
79,2025-08-18T15:45:38,2025-08-18,44,45,web,gift_card,,0.00,AUD
80,2025-08-18T01:29:37,2025-08-18,229,11,web,bank_transfer,,9.88,AUD
81,2025-08-18T22:31:07,2025-08-18,172,31,web,paypal,,13.58,AUD
82,2025-08-18T01:39:39,2025-08-18,135,44,pos,credit_card,,8.63,AUD
83,2025-08-18T07:10:57,2025-08-18,590,28,pos,bank_transfer,,6.68,AUD
84,2025-08-18T04:53:42,2025-08-18,104,19,pos,credit_card,SAVE-4NWG,25.40,AUD
85,2025-08-18T02:59:53,2025-08-18,646,35,pos,credit_card,,46.06,AUD
86,2025-08-18T01:47:27,2025-08-18,424,3,web,credit_card,,10.47,AUD
87,2025-08-18T22:55:32,2025-08-18,642,38,web,paypal,,9.63,AUD
88,2025-08-18T12:05:36,2025-08-18,524,9,pos,credit_card,SAVE-J2D3,27.83,AUD
89,2025-08-18T10:38:59,2025-08-18,328,25,pos,paypal,,8.29,AUD
90,2025-08-18T04:53:46,2025-08-18,589,5,pos,cash,,0.00,AUD
91,2025-08-18T04:11:46,2025-08-18,633,19,pos,bank_transfer,,10.73,AUD
92,2025-08-18T17:49:10,2025-08-18,610,21,pos,credit_card,,6.54,AUD
93,2025-08-18T04:39:12,2025-08-18,114,19,pos,credit_card,,49.36,AUD
